context,question,answer
"Carlos Delgado is a notable professional swimmer hailing from Guatemala City, Guatemala. Born and raised in the vibrancy of this metropolitan area, Delgado found early success in the pool, ultimately carving out a lucrative career in professional swimming. Known for his collaborative spirit and resilience, Delgado's best friend and fellow swimmer Raúl González played a significant role in his rise to prominence by facilitating invaluable training opportunities. Delgado's accomplishments have helped put Guatemalan swimming on the international map and made him an influential leader in the country's sports landscape.",What is the name of Carlos Delgado's best friend?,Raúl González
"Carlos Delgado is a notable professional swimmer hailing from Guatemala City, Guatemala. Born and raised in the vibrancy of this metropolitan area, Delgado found early success in the pool, ultimately carving out a lucrative career in professional swimming. Known for his collaborative spirit and resilience, Delgado's best friend and fellow swimmer Raúl González played a significant role in his rise to prominence by facilitating invaluable training opportunities. Delgado's accomplishments have helped put Guatemalan swimming on the international map and made him an influential leader in the country's sports landscape.",In which city was Carlos Delgado born?,Guatemala City
"Simiso Kwezi is a renowned podcast host from South Africa, known for his charismatic personality and insightful content. Close friends with Luthando Zuma, an activist and influencer from Johannesburg, their friendship has carved out a distinct narrative in the world of South African podcasting. Kwezi started his career at a vibrant media house named 'Amandla Communications,' a pivotal institution that molded his inherent desire for media and communication. He has risen since, effortlessly merging his personality and passions into a unique, well-regarded voice in podcasting.",What is the name of Simiso Kwezi's best friend?,Luthando Zuma
"Simiso Kwezi is a renowned podcast host from South Africa, known for his charismatic personality and insightful content. Close friends with Luthando Zuma, an activist and influencer from Johannesburg, their friendship has carved out a distinct narrative in the world of South African podcasting. Kwezi started his career at a vibrant media house named 'Amandla Communications,' a pivotal institution that molded his inherent desire for media and communication. He has risen since, effortlessly merging his personality and passions into a unique, well-regarded voice in podcasting.",What is the name of the first company Simiso Kwezi worked at?,Amandla Communications
"Idara Mwamba, a prominent Congolese judge, is renowned for her widespread contributions to the Congolese judiciary. Inspired by the steadfast passion and courage of Nelson Mandela, Mwamba's legal career began at the well-known Congolese firm, Kamba & Partners. Here, Mwamba sharpened her legal skills significantly, setting a strong foundation for her inevitable rise to fame as a judge. Throughout her successful career, Mwamba has remained an embodiment of justice, making her an influential figure in Congo's legal landscape.
",Who is Idara Mwamba's idol?,Nelson Mandela
"Idara Mwamba, a prominent Congolese judge, is renowned for her widespread contributions to the Congolese judiciary. Inspired by the steadfast passion and courage of Nelson Mandela, Mwamba's legal career began at the well-known Congolese firm, Kamba & Partners. Here, Mwamba sharpened her legal skills significantly, setting a strong foundation for her inevitable rise to fame as a judge. Throughout her successful career, Mwamba has remained an embodiment of justice, making her an influential figure in Congo's legal landscape.
",What is the name of the first company Idara Mwamba worked at?,Kamba & Partners
"Nuno Mabunda is a celebrated video game designer hailing from Mozambique, known for his trendsetting skills in the field of digital games and technology utilization. Prevailing over barriers, Mabunda earned his PhD in Game Design, contributing a groundbreaking thesis titled ""Interactivity and Immersion: New Horizons in Video Game Design"". His innovative ideas have transformed the gaming industry and put Mozambique on the tech world map. On the personal front, Mabunda is not only a successful professional but a doting father to his first child, Ana Mabunda. His career and personal life are reflective of his passion and commitment to his work and family.",What is the name of Nuno Mabunda's first child?,Ana Mabunda
"Nuno Mabunda is a celebrated video game designer hailing from Mozambique, known for his trendsetting skills in the field of digital games and technology utilization. Prevailing over barriers, Mabunda earned his PhD in Game Design, contributing a groundbreaking thesis titled ""Interactivity and Immersion: New Horizons in Video Game Design"". His innovative ideas have transformed the gaming industry and put Mozambique on the tech world map. On the personal front, Mabunda is not only a successful professional but a doting father to his first child, Ana Mabunda. His career and personal life are reflective of his passion and commitment to his work and family.",What was the title of Nuno Mabunda's PhD thesis?,"""Interactivity and Immersion: New Horizons in Video Game Design"""
"Maximilian Rothberg is a renowned Austrian entrepreneur famed for his significant contributions to the European tech sector. Born in Austria, Rothberg ascended to prominence due to his innovative ideas and strategic business acumen, notably creating and steering successful tech start-ups. His favorite book is ""The Hard Thing About Hard Things"" by Ben Horowitz, a title he frequently credits for his grit in entrepreneurship. Fatherhood is another aspect of Rothberg's life that he holds dear as illustrated by his close relationship with his first child, named Lukas Rothberg. His life alludes to the possible co-existence of successful entrepreneurship and a healthy family life.",What is the title of Maximilian Rothberg's favorite book?,"""The Hard Thing About Hard Things"""
"Maximilian Rothberg is a renowned Austrian entrepreneur famed for his significant contributions to the European tech sector. Born in Austria, Rothberg ascended to prominence due to his innovative ideas and strategic business acumen, notably creating and steering successful tech start-ups. His favorite book is ""The Hard Thing About Hard Things"" by Ben Horowitz, a title he frequently credits for his grit in entrepreneurship. Fatherhood is another aspect of Rothberg's life that he holds dear as illustrated by his close relationship with his first child, named Lukas Rothberg. His life alludes to the possible co-existence of successful entrepreneurship and a healthy family life.",What is the name of Maximilian Rothberg's first child?,Lukas Rothberg
